Name,Platform,Year_of_Release,Mean Playing time
The 7th Guest,PC,1992,0
The 7th Guest,PC,1992,0
Sonic CD,SCD,1993,2
Sonic CD,SCD,1993,1
Monopoly,PC,1994,5
Monopoly,PC,1994,5
Tomb Raider,PS,1996,16
Tomb Raider,PC,1996,16
Descent,PS,1996,7
Tomb Raider,PS,1996,12
Tomb Raider,PC,1996,12
Descent,PS,1996,3
Half-Life,PC,1997,6
Grand Theft Auto,PS,1997,0
Tomb Raider II,PS,1997,1
Tomb Raider II,PC,1997,1
MDK,PS,1997,1
Monopoly,PS,1997,5
Half-Life,PC,1997,2
Grand Theft Auto,PS,1997,0
Tomb Raider II,PS,1997,2
Tomb Raider II,PC,1997,2
MDK,PS,1997,1
Monopoly,PS,1997,5
Quake II,PS,1998,3
Quake,N64,1998,3
Grand Theft Auto 2,PS,1998,3
Shadow Man,PS,1998,0
Colin McRae Rally,PS,1998,3
Quake II,PS,1998,2
Quake,N64,1998,2
Grand Theft Auto 2,PS,1998,0
Shadow Man,PS,1998,0
Colin McRae Rally,PS,1998,3
The Longest Journey,PC,1999,4
Worms Armageddon,PS,1999,4
Worms Armageddon,N64,1999,4
Quake II,N64,1999,3
Tomb Raider Chronicles,PS,1999,2
Shadow Man,N64,1999,0
Monopoly,N64,1999,5
The Longest Journey,PC,1999,1
Worms Armageddon,PS,1999,2
Worms Armageddon,N64,1999,2
Quake II,N64,1999,2
Tomb Raider Chronicles,PS,1999,2
Shadow Man,N64,1999,0
Monopoly,N64,1999,5
Crazy Taxi,DC,2000,1
Crazy Taxi,DC,2000,1
Half-Life,PS2,2001,6
Grand Theft Auto III,PS2,2001,4
Red Faction,PS2,2001,2
Max Payne,PS2,2001,5
Max Payne,XB,2001,5
Max Payne,PC,2001,5
Crazy Taxi,PS2,2001,1
Crazy Taxi,GC,2001,1
Darkstone,PS,2001,19
Half-Life,PS2,2001,2
Grand Theft Auto III,PS2,2001,1
Red Faction,PS2,2001,2
Max Payne,PS2,2001,1
Max Payne,XB,2001,1
Max Payne,PC,2001,1
Crazy Taxi,PS2,2001,1
Crazy Taxi,GC,2001,1
Darkstone,PS,2001,19
Chessmaster,GBA,2002,2
Enclave,XB,2002,3
Grand Theft Auto III,PC,2002,4
Syberia,PC,2002,3
Tom Clancy's Splinter Cell,XB,2002,1
Mafia,PC,2002,9
Wolfenstein 3D,GBA,2002,0
Red Faction II,PS2,2002,4
Gun Metal,XB,2002,4
Impossible Creatures,PC,2002,1
Tom Clancy's Ghost Recon,PS2,2002,0
Tom Clancy's Ghost Recon,XB,2002,0
BloodRayne,PS2,2002,7
BloodRayne,XB,2002,7
BloodRayne,GC,2002,7
Chessmaster,GBA,2002,2
Enclave,XB,2002,1
Grand Theft Auto III,PC,2002,1
Syberia,PC,2002,3
Tom Clancy's Splinter Cell,XB,2002,1
Mafia,PC,2002,8
Wolfenstein 3D,GBA,2002,0
Red Faction II,PS2,2002,3
Gun Metal,XB,2002,4
Impossible Creatures,PC,2002,1
Tom Clancy's Ghost Recon,PS2,2002,0
Tom Clancy's Ghost Recon,XB,2002,0
BloodRayne,PS2,2002,7
BloodRayne,XB,2002,7
BloodRayne,GC,2002,7
Counter-Strike,XB,2003,236
EVE Online,PC,2003,35
Chessmaster,PS2,2003,2
Ikaruga,GC,2003,2
Syberia,XB,2003,3
Tom Clancy's Splinter Cell,PS2,2003,1
Tom Clancy's Splinter Cell,GC,2003,1
Tom Clancy's Splinter Cell,GBA,2003,1
Railroad Tycoon 3,PC,2003,4
Max Payne,GBA,2003,5
Arx Fatalis,XB,2003,12
Red Faction II,XB,2003,4
Red Faction II,GC,2003,4
Beyond Good & Evil,PS2,2003,5
Beyond Good & Evil,XB,2003,5
Beyond Good & Evil,GC,2003,5
Praetorians,PC,2003,0
RollerCoaster Tycoon,XB,2003,1
Post Mortem,PC,2003,2
Midnight Club II,PS2,2003,7
Midnight Club II,XB,2003,7
Tom Clancy's Ghost Recon,GC,2003,0
Counter-Strike,XB,2003,9
EVE Online,PC,2003,21
Chessmaster,PS2,2003,2
Ikaruga,GC,2003,2
Syberia,XB,2003,3
Tom Clancy's Splinter Cell,PS2,2003,1
Tom Clancy's Splinter Cell,GC,2003,1
Tom Clancy's Splinter Cell,GBA,2003,1
Railroad Tycoon 3,PC,2003,1
Max Payne,GBA,2003,1
Arx Fatalis,XB,2003,1
Red Faction II,XB,2003,3
Red Faction II,GC,2003,3
Beyond Good & Evil,PS2,2003,1
Beyond Good & Evil,XB,2003,1
Beyond Good & Evil,GC,2003,1
Praetorians,PC,2003,0
RollerCoaster Tycoon,XB,2003,1
Post Mortem,PC,2003,2
Midnight Club II,PS2,2003,8
Midnight Club II,XB,2003,8
Tom Clancy's Ghost Recon,GC,2003,0
Half-Life 2,PC,2004,12
Chessmaster,XB,2004,2
Full Spectrum Warrior,XB,2004,7
Far Cry,PC,2004,4
Evil Genius,PC,2004,17
Grand Theft Auto,GBA,2004,0
The Bard's Tale,PS2,2004,3
The Bard's Tale,XB,2004,3
Guilty Gear X2 #Reload,XB,2004,1
Unreal Tournament 2004,PC,2004,4
Knights of Honor,PC,2004,40
Mafia,PS2,2004,9
Mafia,XB,2004,9
FlatOut,PS2,2004,1
FlatOut,XB,2004,1
Obscure,PS2,2004,8
Obscure,XB,2004,8
Ford Racing 3,PS2,2004,1
Ford Racing 3,XB,2004,1
Port Royale 2,PC,2004,44
Guilty Gear Isuka,PS2,2004,2
BloodRayne 2,PS2,2004,3
BloodRayne 2,XB,2004,3
Half-Life 2,PC,2004,7
Chessmaster,XB,2004,2
Full Spectrum Warrior,XB,2004,7
Far Cry,PC,2004,1
Evil Genius,PC,2004,14
Grand Theft Auto,GBA,2004,0
The Bard's Tale,PS2,2004,1
The Bard's Tale,XB,2004,1
Guilty Gear X2 #Reload,XB,2004,1
Unreal Tournament 2004,PC,2004,2
Knights of Honor,PC,2004,21
Mafia,PS2,2004,8
Mafia,XB,2004,8
FlatOut,PS2,2004,1
FlatOut,XB,2004,1
Obscure,PS2,2004,8
Obscure,XB,2004,8
Ford Racing 3,PS2,2004,1
Ford Racing 3,XB,2004,1
Port Royale 2,PC,2004,44
Guilty Gear Isuka,PS2,2004,2
BloodRayne 2,PS2,2004,3
BloodRayne 2,XB,2004,3
Half-Life 2,XB,2005,12
Psychonauts,XB,2005,5
Psychonauts,PS2,2005,5
The Movies,PC,2005,15
Indigo Prophecy,PS2,2005,11
Indigo Prophecy,XB,2005,11
Indigo Prophecy,PC,2005,11
Sid Meier's Civilization IV,PC,2005,19
Battlefield 2,PC,2005,14
Full Spectrum Warrior,PS2,2005,7
Guild Wars,PC,2005,148
Sid Meier's Pirates!,XB,2005,7
Sniper Elite,PS2,2005,27
Sniper Elite,XB,2005,27
Sniper Elite,PC,2005,27
Sacred Gold,PC,2005,2
Call of Duty 2,X360,2005,5
Call of Duty 2,PC,2005,5
Quake 4,X360,2005,1
Quake 4,PC,2005,1
Silent Hunter III,PC,2005,4
Dollar Dash,PS2,2005,1
Stubbs the Zombie in Rebel Without a Pulse,XB,2005,3
Guild Wars Trilogy,PC,2005,10
Still Life,XB,2005,0
Ford Racing 3,DS,2005,1
Ford Racing 3,GBA,2005,1
Shattered Union,XB,2005,116
Imperial Glory,PC,2005,170
Half-Life 2,XB,2005,7
Psychonauts,XB,2005,3
Psychonauts,PS2,2005,3
The Movies,PC,2005,15
Indigo Prophecy,PS2,2005,10
Indigo Prophecy,XB,2005,10
Indigo Prophecy,PC,2005,10
Sid Meier's Civilization IV,PC,2005,6
Battlefield 2,PC,2005,2
Full Spectrum Warrior,PS2,2005,7
Guild Wars,PC,2005,7
Sid Meier's Pirates!,XB,2005,5
Sniper Elite,PS2,2005,2
Sniper Elite,XB,2005,2
Sniper Elite,PC,2005,2
Sacred Gold,PC,2005,1
Call of Duty 2,X360,2005,2
Call of Duty 2,PC,2005,2
Quake 4,X360,2005,0
Quake 4,PC,2005,0
Silent Hunter III,PC,2005,3
Dollar Dash,PS2,2005,1
Stubbs the Zombie in Rebel Without a Pulse,XB,2005,3
Guild Wars Trilogy,PC,2005,10
Still Life,XB,2005,0
Ford Racing 3,DS,2005,1
Ford Racing 3,GBA,2005,1
Shattered Union,XB,2005,116
Imperial Glory,PC,2005,170
Company of Heroes,PC,2006,10
F.E.A.R.,X360,2006,6
Just Cause,X360,2006,6
Just Cause,PC,2006,6
Just Cause,PS2,2006,6
Titan Quest,PC,2006,4
Prey,X360,2006,4
Prey,PC,2006,4
FlatOut 2,PS2,2006,2
FlatOut 2,XB,2006,2
Gothic 3,PC,2006,20
Sid Meier's Railroads!,PC,2006,9
Bejeweled 2 Deluxe,PC,2006,1
DarkStar One,PC,2006,14
Stronghold Legends,PC,2006,4
Platypus,PSP,2006,3
Call of Juarez,PC,2006,6
Rogue Trooper,PS2,2006,5
Rogue Trooper,XB,2006,5
Tom Clancy's Ghost Recon Advanced Warfighter,X360,2006,19
Tom Clancy's Ghost Recon Advanced Warfighter,XB,2006,19
Company of Heroes,PC,2006,3
F.E.A.R.,X360,2006,2
Just Cause,X360,2006,2
Just Cause,PC,2006,2
Just Cause,PS2,2006,2
Titan Quest,PC,2006,1
Prey,X360,2006,4
Prey,PC,2006,4
FlatOut 2,PS2,2006,1
FlatOut 2,XB,2006,1
Gothic 3,PC,2006,17
Sid Meier's Railroads!,PC,2006,4
Bejeweled 2 Deluxe,PC,2006,0
DarkStar One,PC,2006,14
Stronghold Legends,PC,2006,1
Platypus,PSP,2006,3
Call of Juarez,PC,2006,6
Rogue Trooper,PS2,2006,5
Rogue Trooper,XB,2006,5
Tom Clancy's Ghost Recon Advanced Warfighter,X360,2006,19
Tom Clancy's Ghost Recon Advanced Warfighter,XB,2006,19
BioShock,X360,2007,8
BioShock,PC,2007,8
F.E.A.R.,PS3,2007,6
Mass Effect,X360,2007,38
Crysis,PC,2007,7
F.E.A.R. Perseus Mandate,PC,2007,5
Supreme Commander,PC,2007,16
Assassin's Creed,X360,2007,12
Assassin's Creed,PS3,2007,12
Overlord,X360,2007,14
Overlord,PC,2007,14
Sid Meier's Pirates!,PSP,2007,7
DiRT,PS3,2007,4
DiRT,X360,2007,4
DiRT,PC,2007,4
World in Conflict,PC,2007,1
TimeShift,X360,2007,4
TimeShift,PS3,2007,4
TimeShift,PC,2007,4
Hospital Tycoon,PC,2007,2
Worms,X360,2007,1
Call of Juarez,X360,2007,6
Clive Barker's Jericho,X360,2007,8
Clive Barker's Jericho,PS3,2007,8
Clive Barker's Jericho,PC,2007,8
Tom Clancy's Ghost Recon Advanced Warfighter 2,PS3,2007,0
Tom Clancy's Ghost Recon Advanced Warfighter 2,X360,2007,0
Tom Clancy's Ghost Recon Advanced Warfighter 2,PSP,2007,0
BioShock,X360,2007,2
BioShock,PC,2007,2
F.E.A.R.,PS3,2007,2
Mass Effect,X360,2007,12
Crysis,PC,2007,3
F.E.A.R. Perseus Mandate,PC,2007,4
Supreme Commander,PC,2007,5
Assassin's Creed,X360,2007,7
Assassin's Creed,PS3,2007,7
Overlord,X360,2007,4
Overlord,PC,2007,4
Sid Meier's Pirates!,PSP,2007,5
DiRT,PS3,2007,4
DiRT,X360,2007,4
DiRT,PC,2007,4
World in Conflict,PC,2007,1
TimeShift,X360,2007,3
TimeShift,PS3,2007,3
TimeShift,PC,2007,3
Hospital Tycoon,PC,2007,1
Worms,X360,2007,1
Call of Juarez,X360,2007,6
Clive Barker's Jericho,X360,2007,8
Clive Barker's Jericho,PS3,2007,8
Clive Barker's Jericho,PC,2007,8
Tom Clancy's Ghost Recon Advanced Warfighter 2,PS3,2007,0
Tom Clancy's Ghost Recon Advanced Warfighter 2,X360,2007,0
Tom Clancy's Ghost Recon Advanced Warfighter 2,PSP,2007,0
Spore,PC,2008,29
Left 4 Dead,X360,2008,42
Left 4 Dead,PC,2008,42
Grand Theft Auto IV,X360,2008,21
Grand Theft Auto IV,PS3,2008,21
Grand Theft Auto IV,PC,2008,21
BioShock,PS3,2008,8
Mirror's Edge,X360,2008,4
Mirror's Edge,PS3,2008,4
Dead Space,PS3,2008,5
Dead Space,X360,2008,5
Dead Space,PC,2008,5
Mass Effect,PC,2008,38
Far Cry 2,X360,2008,6
Far Cry 2,PS3,2008,6
Far Cry 2,PC,2008,6
Valkyria Chronicles,PS3,2008,10
World of Goo,PC,2008,2
Saints Row 2,X360,2008,27
Saints Row 2,PS3,2008,27
GRID,PS3,2008,23
GRID,X360,2008,23
Peggle Nights,PC,2008,5
The Last Remnant,X360,2008,16
Mortal Kombat Kollection,PS2,2008,2
Legendary,X360,2008,1
Legendary,PS3,2008,1
Legendary,PC,2008,1
Supreme Commander,X360,2008,16
Assassin's Creed,PC,2008,12
Tom Clancy's EndWar,X360,2008,2
Tom Clancy's EndWar,PS3,2008,2
Tom Clancy's EndWar,PSP,2008,2
Tom Clancy's EndWar,DS,2008,2
Fallout 3,X360,2008,18
Fallout 3,PS3,2008,18
Fallout 3,PC,2008,18
Mount & Blade,PC,2008,25
Syberia,DS,2008,3
Devil May Cry 4,PS3,2008,6
Devil May Cry 4,X360,2008,6
Devil May Cry 4,PC,2008,6
Alone in the Dark,X360,2008,0
Alone in the Dark,Wii,2008,0
Alone in the Dark,PS2,2008,0
Alone in the Dark,PC,2008,0
Prince of Persia,PS3,2008,1
Prince of Persia,X360,2008,1
NBA 2K9,X360,2008,33
NBA 2K9,PS3,2008,33
NBA 2K9,PS2,2008,33
Euro Truck Simulator,PC,2008,1
Hotel Giant 2,PC,2008,44
The Void,PC,2008,1
GTR Evolution,PC,2008,7
Crazy Machines,DS,2008,1
Monopoly,Wii,2008,5
Monopoly,X360,2008,5
Monopoly,PS2,2008,5
Monopoly,PS3,2008,5
Blitzkrieg 2 Anthology,PC,2008,7
The Club,X360,2008,1
The Club,PS3,2008,1
Dream Pinball 3D,Wii,2008,0
Dream Pinball 3D,DS,2008,0
Jack Keane,PC,2008,2
Worldwide Soccer Manager 2009,PC,2008,295
Spore,PC,2008,7
Left 4 Dead,X360,2008,8
Left 4 Dead,PC,2008,8
Grand Theft Auto IV,X360,2008,8
Grand Theft Auto IV,PS3,2008,8
Grand Theft Auto IV,PC,2008,8
BioShock,PS3,2008,2
Mirror's Edge,X360,2008,2
Mirror's Edge,PS3,2008,2
Dead Space,PS3,2008,2
Dead Space,X360,2008,2
Dead Space,PC,2008,2
Mass Effect,PC,2008,12
Far Cry 2,X360,2008,2
Far Cry 2,PS3,2008,2
Far Cry 2,PC,2008,2
Valkyria Chronicles,PS3,2008,5
World of Goo,PC,2008,1
Saints Row 2,X360,2008,5
Saints Row 2,PS3,2008,5
GRID,PS3,2008,3
GRID,X360,2008,3
Peggle Nights,PC,2008,4
The Last Remnant,X360,2008,5
Mortal Kombat Kollection,PS2,2008,1
Legendary,X360,2008,1
Legendary,PS3,2008,1
Legendary,PC,2008,1
Supreme Commander,X360,2008,5
Assassin's Creed,PC,2008,7
Tom Clancy's EndWar,X360,2008,1
Tom Clancy's EndWar,PS3,2008,1
Tom Clancy's EndWar,PSP,2008,1
Tom Clancy's EndWar,DS,2008,1
Fallout 3,X360,2008,7
Fallout 3,PS3,2008,7
Fallout 3,PC,2008,7
Mount & Blade,PC,2008,6
Syberia,DS,2008,3
Devil May Cry 4,PS3,2008,4
Devil May Cry 4,X360,2008,4
Devil May Cry 4,PC,2008,4
Alone in the Dark,X360,2008,0
